"Index";"BTC-USD.Open";"BTC-USD.High";"BTC-USD.Low";"BTC-USD.Close";"BTC-USD.Volume";"BTC-USD.Adjusted"
"2015-12-01";377.414001;378.931;356.562988;362.488007;60452200;362.488007
"2015-12-02";361.845001;362.231995;349.464996;359.187012;54160500;359.187012
"2015-12-03";359.330994;370.274994;357.411987;361.04599;50714900;361.04599
"2015-12-04";361.261993;363.515991;355.756989;363.183014;35784100;363.183014
"2015-12-05";363.721008;389.785004;363.229004;388.949005;66282200;388.949005
"2015-12-06";389.554993;402.80899;387.088989;388.78299;77762000;388.78299
"2015-12-07";389.977997;399.968994;385.411011;395.536011;63455800;395.536011
"2015-12-08";395.753998;415.562988;389.950012;415.562988;57801400;415.562988
"2015-12-09";414.44101;423.119995;406.290985;417.562988;90917200;417.562988
"2015-12-10";417.988007;419.509003;411.548004;415.479004;52138900;415.479004
"2015-12-11";415.281006;451.937988;415.281006;451.937988;110944000;451.937988
"2015-12-12";452.334991;469.102997;410.740997;434.997009;131969000;434.997009
"2015-12-13";431.660004;441.679993;426.268005;433.755005;55050600;433.755005
"2015-12-14";433.272003;447.141998;430.455994;444.182007;130496000;444.182007
"2015-12-15";443.877991;465.321014;443.877991;465.321014;83121104;465.321014
"2015-12-16";465.208008;465.208008;443.851013;454.93399;107944000;454.93399
"2015-12-17";454.777008;457.859985;448.858002;456.078003;47978400;456.078003
"2015-12-18";455.846985;465.177002;454.940002;463.615997;60220100;463.615997
"2015-12-19";463.552002;465.580994;456.765015;462.321991;47892700;462.321991
"2015-12-20";462.234009;462.644989;434.338013;442.684998;75409400;442.684998
"2015-12-21";442.838013;444.729004;427.312012;438.639008;77639696;438.639008
"2015-12-22";437.436005;443.687988;435.515991;436.571991;50840400;436.571991
"2015-12-23";436.720001;444.528992;436.618988;442.401001;47161400;442.401001
"2015-12-24";443.091003;458.455994;443.076996;454.984985;57157200;454.984985
"2015-12-25";454.855011;458.304993;452.075012;455.653015;39078500;455.653015
"2015-12-26";455.756012;457.489014;405.76001;417.273987;116166000;417.273987
"2015-12-27";416.514008;424.006989;408.882996;422.822998;53591200;422.822998
"2015-12-28";423.342987;429.769012;418.480988;422.278992;49638600;422.278992
"2015-12-29";422.097992;432.983002;420.627014;432.983002;51596500;432.983002
"2015-12-30";433.299988;434.386993;422.084015;426.619995;46889400;426.619995
