date,text,likes,retweets
2019-03-13 21:27:45,#Bitcoin\xe2\x80\x98s path to $1.000.000 #BTC pic.twitter.com/5i1tPrJHS8,186,61
2019-03-13 23:48:35,The #Hodl pays off!! @SatoshiLite #Litecoin #LTC #LtcBull #Bitcoin #BTC #Crypto #SatoshiLite #Urus #Lamborghinipic.twitter.com/VHrl5Fim35,167,25
2019-03-13 23:46:46,"#Bitcoin costs are socialized amongst token holders through #BTC inflation paid to miners for processing transactions. Currently, this makes Bitcoin the most expensive option at over 10 USD/tx.\n\nThrough integration, #EOS can make Bitcoin scalable, cheap, and programmable.",128,22
2019-03-13 13:01:53,"Report: #Bakkt competitor #CoinFLEX lands #investment from #DCG, #Polychain; launches #FLEXCoin. CoinFLEX is preparing to offer #futures and spot contracts for each of #Bitcoin (#BTC), #BitcoinCash (#BCH), and #Ethereum (#ETH) with as much as 20x leverage.https://cryptocoinspy.com/bakkt-competitor-coinflex-lands-investment-from-dcg-polychain-launches-flex-coin/ \xe2\x80\xa6",18,7
2019-03-13 20:29:32,My school project - MESH NETWORKS! Check out the latest vid at http://www.youtube.com/cryptocoinkid  #meshnetworks #gotenna #bitcoin #btc @gotenna @Blockstream #zomongo #mongocoin @ZomongoTVpic.twitter.com/Pt1XbAU1gi,92,16
2019-03-13 16:46:37,Phantasma Chain revised tokenomics and more details about the main net!\n\nIt\xe2\x80\x99s time to become a SOUL Master!\n\nhttp://bit.ly/mainetokenomics \n\n#PhantasmaChain $SOUL #Cryptocurrency #Crypto #Bitcoin $BTC $ETH $EOS $NEO #Blockchainpic.twitter.com/iSYFe4LfjB,100,45
2019-03-13 22:38:16,Bitcoin loss percentage from prior all time high vs Bitcoin price chart   \n\n#bitcoin $BTC #BitcoinChartspic.twitter.com/XYNM3FT6Rz,44,14
2019-03-13 15:16:19,24 hours golden cross potential is incoming for \xc5\x81itecoin \n\nThis is bullish if it happens\n\nExpect more gains #ltc #litecoin #bitcoin #btc #litecoinfampic.twitter.com/bhlXtnb4Mn,13,6
2019-03-13 23:16:43,"#LightningNetwork \n\nhttp://1ML.com  observed:\n7,309 nodes (3,878 with active channels)\n35,718 channels\n807.538 BTC capacity ($3,130,075)\n\nmedian node capacity: 0.022 BTC ($86.18)\n\npast 24h:\n+42 nodes +841 channels -1.546 BTC ($-5,992)\n\n#Lightning #LN #bitcoin $BTC",53,13
2019-03-13 21:51:48,Bisq\'s vision of decentralized crypto trading shares many of our own philosophies. Remember if you don\'t own your private keys then you don\'t really own your coins & they are at risk! @bisq_network \n\nhttp://ow.ly/JJAz30o2ggQ \n\n#SaturnNetwork #DEX #cryptotrading #bisq #bitcoin #btc,18,12
2019-03-13 13:58:40,Just your reminder that bitcoin dot com website is cover for the bcash scam disguised as the real Bitcoin. They will sell you #Bcash when you may think you were buying the real #Bitcoin #BTC\n\nAlso @kraken why don\'t you use the thicker $BTC?? Are you not alowed?,22,3
2019-03-13 21:52:27,Come on #DAPSfam #crypto #GiveawayAlert #bitcoin #ether #trx #btc #blockchain #DAPS help @DapsNetherlands to raise  his followers . Nice #giveaway $DAPS testnet this month. A fully private blockchain: default #privacy #privacycoinhttps://twitter.com/DapsNetherlands/status/1105889685015093249 \xe2\x80\xa6,21,8
2019-03-13 17:03:24,[Seeking #Partners] Open Invitation to #Tech Writers to Guest Post or Start a Regular Column in the Stadivm Blog \n\nhttps://stadivm.com/threads/seeking-partners-open-invitation-to-tech-writers-to-guest-post-or-start-a-regular-column-in-the-stadivm-blog.175/#post-258 \xe2\x80\xa6\n\n#Crypto #Cryptocurrency #Bitcoin #BTC #writing,2,2
2019-03-13 19:50:51,"\xe2\x81\xa6@LBRYio\xe2\x81\xa9 #LBRYcast rewards just doubled up, get 10 #LBC for watching any of the featured videos $lbc #blockchain #freespeech #crypto #airdrop #earn #rewards #btc #bitcoin pic.twitter.com/JAZOowbjIu",33,22
